latitudeAirport,longitudeAirport,nameAirport,nameCountry
32.933334,-85.95,Thomas C Russell Field,United States
31.192545,29.953058,El Nohza,Egypt
56.895832,-154.24583,Alitak SPB,United States
35.218273,-101.70513,Rick Husband Amarillo International,United States
-13.183333,48.983334,Ambilobe,Madagascar
11.033333,20.283333,Am Timan,
23.06639,72.62417,Sardar Vallabhbhai Patel International Airport,India
-15.833333,37.583332,Alto Molocue,Mozambique
-4.166667,141.66667,Ama,Papua New Guinea
-4.616667,143.7,Amboin,Papua New Guinea
6.036111,37.576942,Arba Mintch,Ethiopia
-16.183332,-40.683334,Almenara,Brazil
37.15,-107.75,Animas Airpark,United States
31.722534,35.98932,Queen Alia International,Jordan
43.38333,-84.65,Gratiot Community,United States
14.116667,15.316667,Mao,
-24.7,44.733334,Ampanihy,Madagascar
-3.704996,128.08888,Pattimura,Indonesia
7.033333,171.23334,Arno,Marshall Islands
52.30907,4.763385,Schiphol,Netherlands
-26.766666,132.03334,Amata,Australia
-3.516667,141.15,Amanab,Papua New Guinea
69.76667,61.55,Amderma,Russia
41.994167,-93.61833,Ames,United States
-21.74,135.24,Ammaroo,Australia
-17.683332,45.666668,Ambatomainty,Madagascar
-37.033333,174.96666,Ardmore,New Zealand
33.816666,-117.933334,John Wayne International,United States
33.59028,-85.855835,Anniston Metropolitan,United States
61.174442,-149.99638,Ted Stevens Anchorage International Airport,United States
34.49361,-82.71,Anderson,United States
47.466667,-0.55,Marce,France
-23.449,-70.44079,Cerro Moreno,
45.733334,0.216667,Brie-Champniers,France
61.574398,-159.53697,Aniak,United States
-2.85,13.833333,Zanaga,Republic of the Congo
39.983334,32.833332,Etimesgut,Turkey
-11.25,17.25,Andulo,Angola
-15,50.316666,Antsirabato,Madagascar
55.036945,-131.57056,Annette Island,United States
-16.177778,39.936943,Angoche,Mozambique
38.983334,-76.5,Lee,United States
41.63333,-85,Tri-State Steuben County,United States
51.18916,4.450672,Deurne/ Antwerp Airport,Belgium
-13.716667,-73.355835,Andahuaylas,Peru
47.15,10.283333,St Anton,Austria
17.108334,-61.76389,V. C. Bird International,Antigua and Barbuda
62.647778,-160.18889,Anvik,United States
42.55,-99.86667,Ainsworth,United States
69.30492,16.133326,"And√?ya Lufthavn, Andenes",Norway
37.15,-98.03333,Anthony,United States
-25.083332,132.16667,Angus Downs,Australia
-4.916667,144.65,Annanberg,Papua New Guinea
50.983334,12.45,Altenburg Nobitz,Germany
11.474722,19.288889,Abou Deia,
39.81,30.519444,Anadolu University,Turkey
41.166668,123.03333,Anshan,China
40.766666,-84.1,Allen County,United States
43.60691,13.355723,Falconara,Italy
40.738758,140.68922,Aomori,Japan
35.420685,27.146729,Karpathos,Greece
-29.683332,-57.15,Paso De Los Libres,Argentina
40.738758,140.68922,Adam,Oman
-6.333333,146,Arona,Papua New Guinea
40.297222,-78.32,Martinsburg,United States
-2.90464,-76.40236,Andoas,Peru
6.201171,100.405266,Alor Setar,Malaysia
57.466667,-153.83333,Amook,United States
45.73861,7.3625,Corrado Gex,Italy
14.8,106.833336,Attopeu,Laos
39.733334,-104.98333,Arapahoe Co,United States
-14.716667,-68.51667,Apolo,Bolivia
38.212223,-122.28,Napa County,United States
-11.933333,-69.083336,San Juan Aposento,Peru
26.152779,-81.775276,Naples,United States
39.5,-76.166664,Phillips AAF,United States
38.05,-77.35,Camp A P Hill,United States
4.068889,-73.05194,Apiay,Colombia
-15.416667,-146.08333,Apataki,French Polynesia
-15.101667,39.287224,Nampula,Mozambique
45.08167,-83.55583,Alpena County Regional,United States
7.817678,-76.71766,Apartado,Colombia
-8.983333,148.13333,Asapa,Papua New Guinea
-9.75,-36.65,Arapiraca,Brazil
-8.5,145,April River,Papua New Guinea
-16.333332,-48.966667,Anapolis,Brazil
35.066666,-85.5,Marion County,United States
-23.55,-51.483334,Apucarana,Brazil
34.52639,-117.212776,Apple Valley,United States
-13.832793,-171.99724,Faleolo,Samoa
-23.483334,-51.466667,Arapongas,Brazil
-9.133333,-45.933334,Alto Parnaiba,Brazil
-38.916668,-70.083336,Zapala,Argentina
-21.816668,-48.13333,Araraquara,Brazil
15.01,-91.15,Quiche Airport,Guatemala
30.5825,117.0509,Anqing,China
28.334408,46.121315,Qaisumah,Saudi Arabia
29.610073,35.02151,King Hussein International,Jordan
-9.933333,-63.066666,Ariquemes,Brazil
-16.344812,-71.56799,Rodriguez Ballon,Peru
60.966667,-149.11667,Alyeska,United States
30.037779,-91.88389,Acadiana Regional,United States
42.3,-83.75,Municipal,United States
68.1375,-145.52444,Arctic Village,United States
-8.683333,124.53333,Alor Island,Indonesia
18.45,-66.675835,Arecibo,Puerto Rico
0.533333,-70.13333,Acaricuara,Colombia
36.066666,-90.95,Walnut Ridge,United States
64.594795,40.711903,Arkhangelsk,Russia
-18.349766,-70.335556,Chacalluta,
-2.933333,140.78334,Arso,Indonesia
-3.366667,36.683334,Arusha,Tanzania
11.6,1.483333,Arly,Burkina Faso
-30.532297,151.61493,Armidale,Australia
59.64982,17.930365,Arlanda,Sweden
8.85,-76.433334,Arboletas,Colombia
-9.8,149.5,Aragip,Papua New Guinea
7.033056,-71.43166,Arauquita,Colombia
-45.033333,-70.833336,Alto Rio Senguerr,Argentina
-15.9,-52.233334,Aragarcas,Brazil
43.990833,-76.021385,Watertown,United States
-21.143612,-50.42611,Aracatuba,Brazil
45.924168,-89.73222,Noble F. Lee,United States
46.183334,21.266666,Arad,Romania
-37.316666,143,Ararat,Australia
-7.5,13.5,N'zeto,Angola
13.07,42.638332,Assab International,Eritrea
37.984184,58.366978,Ashgabat,Turkmenistan
-15.916667,-63.15,Ascension,Bolivia
24.697779,-77.79611,Andros Town,Bahamas
39.219685,-106.864685,Aspen,United States
46.2877,47.999977,Astrakhan,Russia
-43.9,171.78334,Ashburton,New Zealand
42.77889,-71.509445,Boire Field,United States
-7.966667,-14.4,Wideawake Field,Saint Helena
28.431522,129.70793,Amami,Japan
6.816667,-5.283333,Yamoussoukro,
