latitudeAirport,longitudeAirport,nameAirport,nameCountry,geometry
16.437222,-15.657222,Richard Toll,Senegal,POINT (-15.657222 16.437222)
12.483333,-13.3,Sambailo,Guinea,POINT (-13.3 12.483333)
-10.45,-40.183334,Senhor Do Bonfim,Brazil,POINT (-40.183334 -10.45)
15.182222,-12.206111,Selibaby,Mauritania,POINT (-12.206111 15.182222)
34.716667,10.683333,Sfax Thyna,Tunisia,POINT (10.683333 34.716667)
13.166667,-13.166667,Simenti,Senegal,POINT (-13.166667 13.166667)
-6.216667,-36.016666,Santa Cruz,Brazil,POINT (-36.016666 -6.216667)
-13.316667,-50.216667,SÃ?o Miguel de Aragao,Brazil,POINT (-50.216667 -13.316667)
36.978333,8.876389,Tabarka,Tunisia,POINT (8.876389 36.978333)
35.466667,8.15,Tbessa,,POINT (8.15 35.466667)
33.058334,6.084722,Touggourt,,POINT (6.084722 33.058334)
-5.06335,-42.821087,Senador PetrÃ?nio Portella,Brazil,POINT (-42.821087 -5.06335)
18.45,-9.5,Tichitt,Mauritania,POINT (-9.5 18.45)
17.233334,-10.816667,Tamchakett,Mauritania,POINT (-10.816667 17.233334)
35.466667,1.35,Bouchekif Abde Al-hafidh Boussof,,POINT (1.35 35.466667)
27.716667,-8.166667,Tindouf,,POINT (-8.166667 27.716667)
18.566668,-11.416667,Tidjikja,Mauritania,POINT (-11.416667 18.566668)
29.233334,0.283333,Timimoun,,POINT (0.283333 29.233334)
33.916668,8.133333,Tozeur,Tunisia,POINT (8.133333 33.916668)
37.901386,12.495865,Birgi,Italy,POINT (12.495865 37.901386)
39.916668,9.683333,Arbatax,Italy,POINT (9.683333 39.916668)
13.736111,-13.658333,Tambacounda,Senegal,POINT (-13.658333 13.736111)
36.847622,10.21709,Carthage,Tunisia,POINT (10.21709 36.847622)
-7.133333,-37.183334,Teixeira de Freitas,Brazil,POINT (-37.183334 -7.133333)
16.050278,-16.460278,St Louis,Senegal,POINT (-16.460278 16.050278)
12.556111,-16.275833,Ziguinchor,Senegal,POINT (-16.275833 12.556111)
14.67,-17.073333,"Blaise Diagne International Airport
",Senegal,POINT (-17.073333 14.67)
-2.906667,-40.358056,Comte. Ariston Pessoa Regional Airport,Brazil,POINT (-40.358056 -2.906667)
-16.126126,-48.70787,unkown,unkown,POINT (-48.70787 -16.126126)
-16.126126,-47.770069,unkown,unkown,POINT (-47.770069 -16.126126)
-16.126126,-46.832268,unkown,unkown,POINT (-46.832268 -16.126126)
-16.126126,-45.894467,unkown,unkown,POINT (-45.894467 -16.126126)
-16.126126,-44.956667,unkown,unkown,POINT (-44.956667 -16.126126)
-15.225225,-50.219609,unkown,unkown,POINT (-50.219609 -15.225225)
-15.225225,-49.285937,unkown,unkown,POINT (-49.285937 -15.225225)
-15.225225,-48.352265,unkown,unkown,POINT (-48.352265 -15.225225)
-15.225225,-47.418593,unkown,unkown,POINT (-47.418593 -15.225225)
-15.225225,-46.484921,unkown,unkown,POINT (-46.484921 -15.225225)
-15.225225,-45.551249,unkown,unkown,POINT (-45.551249 -15.225225)
-15.225225,-44.617577,unkown,unkown,POINT (-44.617577 -15.225225)
-14.324324,-49.826894,unkown,unkown,POINT (-49.826894 -14.324324)
-14.324324,-48.897086,unkown,unkown,POINT (-48.897086 -14.324324)
-14.324324,-47.967278,unkown,unkown,POINT (-47.967278 -14.324324)
-14.324324,-47.03747,unkown,unkown,POINT (-47.03747 -14.324324)
-14.324324,-46.107662,unkown,unkown,POINT (-46.107662 -14.324324)
-14.324324,-45.177854,unkown,unkown,POINT (-45.177854 -14.324324)
-14.324324,-44.248047,unkown,unkown,POINT (-44.248047 -14.324324)
-14.324324,-43.318239,unkown,unkown,POINT (-43.318239 -14.324324)
-13.423423,-50.331466,unkown,unkown,POINT (-50.331466 -13.423423)
-13.423423,-49.405262,unkown,unkown,POINT (-49.405262 -13.423423)
-13.423423,-48.479059,unkown,unkown,POINT (-48.479059 -13.423423)
-13.423423,-47.552855,unkown,unkown,POINT (-47.552855 -13.423423)
-13.423423,-46.626651,unkown,unkown,POINT (-46.626651 -13.423423)
-13.423423,-45.700447,unkown,unkown,POINT (-45.700447 -13.423423)
-13.423423,-44.774243,unkown,unkown,POINT (-44.774243 -13.423423)
-13.423423,-43.84804,unkown,unkown,POINT (-43.84804 -13.423423)
-13.423423,-42.921836,unkown,unkown,POINT (-42.921836 -13.423423)
-13.423423,-41.995632,unkown,unkown,POINT (-41.995632 -13.423423)
-12.522523,-50.800324,unkown,unkown,POINT (-50.800324 -12.522523)
-12.522523,-49.877469,unkown,unkown,POINT (-49.877469 -12.522523)
-12.522523,-48.954614,unkown,unkown,POINT (-48.954614 -12.522523)
-12.522523,-48.031759,unkown,unkown,POINT (-48.031759 -12.522523)
-12.522523,-47.108904,unkown,unkown,POINT (-47.108904 -12.522523)
-12.522523,-46.186049,unkown,unkown,POINT (-46.186049 -12.522523)
-12.522523,-45.263195,unkown,unkown,POINT (-45.263195 -12.522523)
-12.522523,-44.34034,unkown,unkown,POINT (-44.34034 -12.522523)
-12.522523,-43.417485,unkown,unkown,POINT (-43.417485 -12.522523)
-12.522523,-42.49463,unkown,unkown,POINT (-42.49463 -12.522523)
-12.522523,-41.571775,unkown,unkown,POINT (-41.571775 -12.522523)
