cluster,longitude,latitude,weather_risk,bird_risk,temperature_2m,precipitation,wind_speed,humidity,bird_obs_count
123,-8.026902000000012,31.601874999999996,2.1404523274503293,4.2879093615118515,24.9,0.0,14.773183999999999,61.0,56
124,-147.65915,-14.95633399999999,3.498666666666667,0.8606881472877181,25.9,0.1,60.647808,82.0,9
125,-80.85111684490309,8.095393030074963,3.202957959976022,6.394050598269216,28.5,0.0,37.127344,93.0,102
126,-145.35475918641657,-15.38678986758193,3.13,0.0,25.6,0.0,62.20288,71.0,0
127,-71.14900867958437,6.3482038656953454,2.9249066861273443,0.0,29.3,0.0,20.215936,83.0,0
128,-142.40999419823146,-16.0072753546812,3.4,0.0,25.5,0.0,56.176975999999996,67.0,0
129,-71.9,6.9166669999999995,4.658277960375899,0.0,21.7,0.1,16.328256,87.0,0
130,-71.166664,7.783332999999998,2.273164114304079,1.3064176460119414,29.4,1.4,17.300176,84.0,14
131,10.683333000000008,34.71666700000001,1.6317200150620308,1.64729788588728,24.1,0.0,15.55072,70.0,18
132,-67.43916,7.885278,3.1215907881685303,2.0546639749666595,29.9,1.0,20.799087999999998,91.0,23
133,-10.200000000000014,29.4,2.0307805227354097,1.730408660566377,20.5,0.0,18.855248,97.0,19
134,-73.01667,10.766667000000004,2.1760584731143857,0.0,30.1,0.0,18.855248,89.0,0
135,-60.98225349728937,13.751993751008861,3.8993333333333333,3.3634974986368062,27.8,1.8,26.824992,87.0,41
136,-68.75388999999998,10.280278,3.3,8.763128641825451,28.5,0.0,28.963216,82.0,209
137,-73.0,7.666667,4.226311805514674,7.163459735002295,17.9,0.0,18.077712000000002,78.0,126
138,-71.71441077418191,9.110876193013047,1.7622238659138612,1.563351834036163,31.8,0.0,9.7192,87.0,17
139,-73.06810700020058,5.606099334787182,3.8,5.506710358827784,14.9,0.0,31.10144,94.0,80
140,-17.755555999999988,28.626389,3.0,3.8121660819385914,23.0,0.0,36.93296,82.0,48
141,-60.78521393377827,11.026719621384984,3.5786666666666664,5.639507136784644,28.0,0.1,31.295824000000003,80.0,83
142,8.66394689260972,37.002838610497776,3.748554941053327,0.0,22.5,0.0,10.885504,95.0,0
143,8.14999999999999,35.46666700000001,2.763778481511802,0.0,20.6,0.0,10.107968,57.0,0
